username, created_at, lng, lat, text
iwaspoisoned_, Mon Jan 25 05:39:36 +0000 2021, -74.226470, 40.762296, Burger King, Impossible Burger - East Orange, New Jersey - Friday 1/15/2021 around 11:45 am I ate an impossible who… https://t.co/x8qDRL6SjM 
wrdcsc, Mon Jan 25 05:39:36 +0000 2021, -86.243063, 41.700880, @BenPEdwards That’s been my view but I wonder if anyone has done the math. 
HHHPAPAPA, Mon Jan 25 05:39:37 +0000 2021, -117.824049, 33.810159, 永远都是好聚好散。 https://t.co/PYSJTkF4yU 
RiahRARELYhere, Mon Jan 25 05:39:37 +0000 2021, -100.076888, 31.168893, @dis_is_slime 🤣🤣🤣🤣🤣 
honeyvuee, Mon Jan 25 05:39:37 +0000 2021, -95.057125, 29.665807, Ion think he heard me 
GreenCPA, Mon Jan 25 05:39:37 +0000 2021, -122.630908, 45.536402, @Vector563 @TeaRoomBetty I’m not trying to cover for him.   His record is his record.   I’m a Green and well aware of Biden’s past. 
NailedUniquely, Mon Jan 25 05:39:37 +0000 2021, -83.804475, 27.698682, https://t.co/dqZsdBuKdm 
Mac_hill22, Mon Jan 25 05:39:37 +0000 2021, -89.266508, 39.739300, There should be an anti-viagra 
East_Coast_Emo, Mon Jan 25 05:39:38 +0000 2021, -73.948775, 40.655138, @zzbenz @Stardog97 @SFBikeMessenger @Spotify I just looked at this and they did years ago but it sucked so they got… https://t.co/B97HmQI6cr 
karenmullarkey, Mon Jan 25 05:39:38 +0000 2021, -111.926000, 33.493100, Hope everyone had a great weekend! 😁 Did you spend any time outside?! 🌞🔥 Let me know below ⬇️ @ Scottsdale, Arizona https://t.co/tEPU9ATfS7 
Flash_snaps, Mon Jan 25 05:39:38 +0000 2021, -121.873730, 37.331159, Still waiting for my #S21ultra to arrive but in the meantime here's a #108MP shot from my @SamsungMobileUS Galaxy S… https://t.co/BfYHnVyRa7 
kimfeagin, Mon Jan 25 05:39:38 +0000 2021, -118.248063, 33.839612, @KyleeDawn86 Bra, hands down. 
Honey_Marieee, Mon Jan 25 05:39:38 +0000 2021, -89.922029, 35.133521, So she better 😂 
joleennnn, Mon Jan 25 05:39:38 +0000 2021, -82.669467, 40.365160, x2849382 
SincerelyAishe, Mon Jan 25 05:39:38 +0000 2021, -87.732013, 41.833585, @miracajohnson Sent pics for proof lmao. 😭 
JoshySinger, Mon Jan 25 05:39:38 +0000 2021, -104.922093, 39.713563, tay just whispered “double cheeseburgerrrrr...no fuckin way....” in bed next to me 
ER_Humbz85, Mon Jan 25 05:39:38 +0000 2021, -79.919518, 43.832313, @KCosta_41 @DanielEVergara1 @Kwen_C Ethic and just him getting better. Baker has also made big strides. All I know… https://t.co/Uhy3dMSpCZ 
511NY, Mon Jan 25 05:39:38 +0000 2021, -75.129894, 40.310106, Updated: Incident on #NewYorkflemingtondoylestownRoute Both directions from Doylestown to Port Authority Bus Termin… https://t.co/LJyYnWCHna 
TimWebbsite, Mon Jan 25 05:39:39 +0000 2021, -97.754724, 30.323346, @GeorgeDunham @gordonkeith @junior_miller Another life win for The Great Tony Romo! I’ll bet he wins a golf tournam… https://t.co/GaElkHChPK 
courtneyrphotos, Mon Jan 25 05:39:39 +0000 2021, -95.690732, 39.037579, @MarcTaraz Next time you do, I’d love to join in! 
saturdaybloom, Mon Jan 25 05:39:39 +0000 2021, -97.753840, 31.079307, @creoletee i’ve been told mine is pretty too. tribe. 🤝 
B_RICH52, Mon Jan 25 05:39:39 +0000 2021, -96.832009, 32.959788, @SteelrsRapsPens @Embiid4Mvp @PatrickMahomes Last year 
og_bobby_dogra, Mon Jan 25 05:39:39 +0000 2021, -118.411907, 34.020789, So when COVID ends do we go back to March 2020 or? 
kamalthefunman, Mon Jan 25 05:39:39 +0000 2021, -96.832009, 32.959788, وأصُدُّ عنكِ مخافةً أن يلتقيقلبي بقلبكِ لحظـةً.... فــأذوبُ 
